Loyalty#,Year,Month,YearMonthDate,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed,DollarCostPointsRedeemed,Loyalty#_new
279419,2021,12,2021-12-01,12,0,11849.0,1184,0,0.0,279419_2
990512,2021,12,2021-12-01,5,2,31991.0,3199,0,0.0,990512_2
322169,2021,12,2021-12-01,2,0,17125.0,1712,0,0.0,322169_2
106001,2021,12,2021-12-01,7,0,26469.0,2646,0,0.0,106001_2
402697,2021,12,2021-12-01,12,3,10721.0,1072,0,0.0,402697_2
750578,2020,6,2020-06-01,0,0,0.0,0,0,0.0,750578_2
547522,2020,6,2020-06-01,0,0,0.0,0,0,0.0,547522_2
819842,2020,6,2020-06-01,0,0,0.0,0,0,0.0,819842_2
243741,2020,6,2020-06-01,7,0,29225.0,2922,0,0.0,243741_2
684123,2020,6,2020-06-01,19,7,2431.0,243,0,0.0,684123_2
869265,2020,6,2020-06-01,10,0,14898.0,1489,0,0.0,869265_2
470998,2020,6,2020-06-01,0,0,0.0,0,0,0.0,470998_2
593252,2020,6,2020-06-01,0,0,0.0,0,0,0.0,593252_2
702482,2020,6,2020-06-01,0,0,0.0,0,0,0.0,702482_2
584833,2020,6,2020-06-01,0,0,0.0,0,0,0.0,584833_2
732304,2020,6,2020-06-01,0,0,0.0,0,0,0.0,732304_2
825593,2020,6,2020-06-01,2,2,8868.0,886,4870,48.0,825593_2
615561,2020,6,2020-06-01,12,4,27504.0,2750,0,0.0,615561_2
193662,2020,6,2020-06-01,18,0,21436.0,2143,0,0.0,193662_2
684889,2020,6,2020-06-01,17,8,14975.0,1497,6397,63.0,684889_2
750665,2020,6,2020-06-01,0,0,0.0,0,0,0.0,750665_2
295906,2020,6,2020-06-01,13,0,16469.0,1646,0,0.0,295906_2
411523,2020,6,2020-06-01,6,0,2556.0,255,0,0.0,411523_2
989528,2020,6,2020-06-01,0,0,0.0,0,0,0.0,989528_2
971370,2020,6,2020-06-01,2,1,3609.0,360,5244,52.0,971370_2
373638,2020,6,2020-06-01,0,0,0.0,0,0,0.0,373638_2
646756,2020,6,2020-06-01,0,0,0.0,0,0,0.0,646756_2
886803,2020,6,2020-06-01,0,0,0.0,0,0,0.0,886803_2
736504,2020,6,2020-06-01,0,0,0.0,0,0,0.0,736504_2
968034,2020,6,2020-06-01,2,0,37938.0,3793,0,0.0,968034_2
101902,2020,6,2020-06-01,9,0,8909.0,890,0,0.0,101902_2
402697,2020,6,2020-06-01,0,0,0.0,0,0,0.0,402697_2
684123,2020,6,2020-06-01,6,0,27114.0,2711,0,0.0,684123_2
255836,2020,6,2020-06-01,15,0,861.0,86,0,0.0,255836_2
582493,2020,6,2020-06-01,0,0,0.0,0,0,0.0,582493_2
971370,2020,6,2020-06-01,10,8,19798.0,1979,0,0.0,971370_2
528447,2020,6,2020-06-01,5,0,13268.0,1326,0,0.0,528447_2
351937,2020,6,2020-06-01,0,0,0.0,0,0,0.0,351937_2
