Loyalty#,Year,Month,YearMonthDate,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed,DollarCostPointsRedeemed
618871,2021,12,2021-12-01,0,0,0.0,0,0,0.0
684835,2021,12,2021-12-01,1,1,22980.0,2298,4867,48.0
756867,2021,12,2021-12-01,0,0,0.0,0,0,0.0
493800,2021,12,2021-12-01,0,0,17502.0,1750,0,0.0
187876,2021,12,2021-12-01,0,0,0.0,0,0,0.0
252110,2021,12,2021-12-01,0,0,0.0,0,0,0.0
313673,2021,12,2021-12-01,10,3,26641.0,2664,0,0.0
375722,2021,12,2021-12-01,10,0,16240.0,1624,0,0.0
575833,2021,12,2021-12-01,5,5,6575.0,657,3791,37.0
577278,2021,12,2021-12-01,0,0,0.0,0,0,0.0
358968,2021,12,2021-12-01,14,0,10813.0,1081,0,0.0
327638,2021,12,2021-12-01,17,0,8332.0,833,0,0.0
750688,2021,12,2021-12-01,9,7,30522.0,3052,0,0.0
384010,2021,12,2021-12-01,2,2,3802.0,380,0,0.0
501704,2021,12,2021-12-01,0,0,0.0,0,0,0.0
317001,2021,12,2021-12-01,11,2,26253.0,2625,6056,60.0
964206,2021,12,2021-12-01,13,9,7527.0,752,5720,57.0
432941,2021,12,2021-12-01,0,0,0.0,0,0,0.0
212695,2021,12,2021-12-01,0,0,0.0,0,0,0.0
725962,2020,6,2020-06-01,0,0,0.0,0,0,0.0
811333,2020,6,2020-06-01,15,9,17484.0,1748,3940,39.0
585780,2020,6,2020-06-01,17,6,12605.0,1260,0,0.0
262937,2020,6,2020-06-01,0,0,0.0,0,0,0.0
122283,2020,6,2020-06-01,3,0,11034.0,1103,0,0.0
642401,2020,6,2020-06-01,0,0,0.0,0,0,0.0
944491,2020,6,2020-06-01,0,0,0.0,0,0,0.0
212977,2020,6,2020-06-01,0,0,0.0,0,0,0.0
279883,2020,6,2020-06-01,0,0,0.0,0,0,0.0
409989,2020,6,2020-06-01,0,0,0.0,0,0,0.0
263402,2020,6,2020-06-01,0,0,0.0,0,0,0.0
396920,2020,6,2020-06-01,9,7,12081.0,1208,0,0.0
461540,2020,6,2020-06-01,0,0,0.0,0,0,0.0
631100,2020,6,2020-06-01,0,0,0.0,0,0,0.0
834063,2020,6,2020-06-01,2,2,20781.0,2078,0,0.0
767857,2020,6,2020-06-01,0,0,0.0,0,0,0.0
536848,2020,6,2020-06-01,18,2,27077.0,2707,6491,64.0
850123,2020,6,2020-06-01,0,0,0.0,0,0,0.0
977693,2020,6,2020-06-01,0,0,0.0,0,0,0.0
692936,2020,6,2020-06-01,0,0,0.0,0,0,0.0
197973,2020,6,2020-06-01,0,0,0.0,0,0,0.0
835440,2020,6,2020-06-01,17,4,7437.0,743,4129,41.0
