,kmeans_cluster
0,2
1,0
2,2
3,1
4,0
5,1
6,0
7,1
8,1
9,2
10,0
11,1
12,0
13,1
14,1
15,2
16,0
17,0
18,2
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,2
32,1
33,1
34,2
35,2
36,1
37,2
38,2
39,2
40,0
41,1
42,0
43,0
44,1
45,1
46,2
47,2
48,0
49,2
50,2
51,2
52,2
53,2
54,0
55,1
56,1
57,2
58,2
59,1
60,1
61,1
62,0
63,2
64,0
65,2
66,2
67,1
68,1
69,0
70,1
71,0
72,0
73,2
74,1
75,1
76,1
77,0
78,0
79,2
80,2
81,2
82,0
83,0
84,0
85,1
86,0
87,2
88,1
89,0
90,2
91,0
92,1
93,0
94,0
95,1
96,1
97,2
98,1
99,2
100,1
101,0
102,2
103,1
104,2
105,1
106,1
107,0
108,0
109,1
110,2
111,2
112,0
113,2
114,0
115,2
116,0
117,1
118,2
119,0
120,2
121,0
122,2
123,2
124,0
125,2
126,1
127,0
128,1
129,2
130,1
131,1
132,0
133,2
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,2
143,2
144,2
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,2
153,2
154,0
155,0
156,0
157,2
158,0
159,1
160,1
161,1
162,0
163,2
164,1
165,0
166,2
167,2
168,2
169,2
170,0
171,1
172,2
173,1
174,2
175,1
176,0
177,0
178,2
179,2
180,0
181,0
182,2
183,1
184,1
185,0
186,2
187,2
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,2
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,2
210,2
211,0
212,1
213,1
214,0
215,2
216,2
217,1
218,0
219,0
220,0
221,0
222,0
223,2
224,1
225,1
226,2
227,2
228,0
229,2
230,2
231,1
232,2
233,2
234,0
235,2
236,1
237,2
238,2
239,2
240,2
241,1
242,2
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,2
251,0
252,2
253,2
254,2
255,0
256,1
257,0
258,2
259,1
260,1
261,0
262,0
263,1
264,2
265,0
266,2
267,0
268,1
269,1
270,2
271,2
272,2
273,0
274,1
275,2
276,0
277,1
278,1
279,1
280,1
281,1
282,2
283,0
284,1
285,1
286,0
287,2
288,1
289,0
290,1
291,1
292,2
293,0
294,2
295,2
296,1
297,0
298,2
299,1
300,2
301,2
302,0
303,2
304,2
305,2
306,1
307,1
308,1
309,1
310,1
311,2
312,1
313,2
314,1
315,2
316,0
317,2
318,1
319,0
320,1
321,2
322,1
323,2
324,0
325,0
326,1
327,2
328,2
329,0
330,0
331,1
332,2
333,2
334,1
335,2
336,0
337,0
338,0
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,1
348,0
349,0
350,0
351,0
352,2
353,0
354,2
355,1
356,0
357,0
358,0
359,2
360,1
361,1
362,0
363,0
364,0
365,2
366,2
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,2
377,2
378,2
379,0
380,2
381,0
382,0
383,1
384,0
385,0
386,0
387,2
388,0
389,0
390,2
391,2
392,0
393,2
394,2
395,2
396,0
397,1
398,1
399,1
400,1
401,2
402,1
403,2
404,0
405,1
406,0
407,2
408,0
409,2
410,2
411,1
412,2
413,0
414,0
415,0
416,0
417,0
418,2
419,2
420,0
421,1
422,2
423,2
424,2
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,2
437,1
438,1
439,1
440,2
441,2
442,0
443,2
444,2
445,0
446,1
447,2
448,2
449,0
450,0
451,0
452,2
453,1
454,0
455,0
456,2
457,2
458,0
459,0
460,1
461,2
462,2
463,2
464,2
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,2
477,0
478,0
479,1
480,2
481,0
482,2
483,0
484,2
485,0
486,1
487,1
488,0
489,0
490,1
491,2
492,2
493,0
494,0
495,1
496,0
497,1
498,1
499,2
500,2
501,0
502,2
503,2
504,1
505,2
506,1
507,1
508,2
509,2
510,2
511,0
512,1
513,1
514,1
515,1
516,2
517,2
518,0
519,1
520,1
521,2
522,2
523,0
524,0
525,0
526,0
527,2
528,0
529,2
530,0
531,0
532,2
533,0
534,2
535,2
536,0
537,1
538,0
539,2
540,2
541,1
542,1
543,1
544,0
545,0
546,0
547,0
548,2
549,0
550,2
551,1
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,2
564,1
565,2
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,0
574,2
575,2
576,2
577,0
578,1
579,1
580,1
581,1
582,2
583,0
584,1
585,2
586,0
587,0
588,1
589,2
590,0
591,2
592,0
593,0
594,1
595,2
596,1
597,1
598,1
599,2
600,0
601,0
602,1
603,2
604,0
605,0
606,0
607,0
608,2
609,1
610,0
611,1
612,1
613,0
614,0
615,0
616,2
617,2
618,1
619,0
620,1
621,0
622,1
623,1
624,2
625,1
626,2
627,0
628,1
629,0
630,2
631,2
632,0
633,1
634,2
635,0
636,1
637,0
638,0
639,1
640,0
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,2
649,0
650,0
651,2
652,0
653,1
654,0
655,1
656,1
657,1
658,2
659,0
660,2
661,1
662,0
663,2
664,1
665,1
666,0
667,0
668,1
669,1
670,2
671,1
672,0
673,0
674,2
675,0
676,2
677,2
678,1
679,0
680,1
681,2
682,0
683,2
684,2
685,0
686,1
687,0
688,0
689,1
690,0
691,0
692,0
693,2
694,1
695,0
696,0
697,0
698,1
699,0
700,2
701,0
702,2
703,1
704,2
705,2
706,0
707,0
708,2
709,2
710,1
711,2
712,1
713,2
714,0
715,2
716,1
717,2
718,0
719,1
720,0
721,1
722,2
723,0
724,1
725,0
726,2
727,0
728,2
729,1
730,0
731,0
732,2
733,1
734,2
735,2
736,0
737,2
738,2
739,2
740,0
741,1
742,1
743,2
744,0
745,2
746,2
747,2
748,1
749,1
750,1
751,2
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,2
760,2
761,0
762,0
763,0
764,2
765,0
766,0
767,2
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,2
776,1
777,0
778,0
779,2
780,2
781,2
782,0
783,1
784,1
785,0
786,2
787,1
788,0
789,0
790,0
791,2
792,2
793,0
794,0
795,1
796,2
797,2
798,1
799,2
800,1
801,2
802,1
803,0
804,0
805,2
806,0
807,1
808,1
809,0
810,1
811,1
812,0
813,0
814,1
815,0
816,0
817,1
818,2
819,2
820,1
821,1
822,2
823,0
824,2
825,1
826,1
827,0
828,2
829,1
830,2
831,0
832,1
833,2
834,0
835,0
836,1
837,0
838,0
839,1
840,2
841,2
842,0
843,2
844,1
845,0
846,1
847,2
848,0
849,0
850,0
851,0
852,2
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,1
862,2
863,0
864,0
865,2
866,2
867,1
868,2
869,2
870,0
871,0
872,2
873,1
874,0
875,0
876,1
877,2
878,0
879,1
880,2
881,2
882,2
883,1
884,0
885,2
886,2
887,2
888,0
889,0
890,0
891,0
892,1
893,2
894,2
895,0
896,2
897,1
898,0
899,0
900,0
901,0
902,0
903,2
904,0
905,2
906,1
907,2
908,1
909,2
910,0
911,0
912,2
913,1
914,0
915,0
916,2
917,0
918,2
919,1
920,1
921,0
922,0
923,2
924,0
925,2
926,0
927,2
928,0
929,0
930,2
931,0
932,0
933,1
934,0
935,1
936,2
937,0
938,0
939,1
940,2
941,0
942,0
943,0
944,0
945,0
946,0
947,2
948,0
949,1
950,1
951,1
952,1
953,2
954,0
955,2
956,2
957,0
958,1
959,0
960,2
961,0
962,1
963,1
964,2
965,1
966,2
967,2
968,0
969,2
970,0
971,1
972,0
973,2
974,2
975,0
976,2
977,2
978,2
979,0
980,2
981,2
982,2
983,1
984,2
985,1
986,1
987,0
988,0
989,2
990,1
991,2
992,1
993,0
994,0
995,2
996,2
997,0
998,2
999,0
1000,2
1001,0
1002,1
1003,2
1004,0
1005,0
1006,0
1007,1
1008,2
1009,0
1010,2
1011,2
1012,0
1013,0
1014,0
1015,2
1016,0
1017,0
1018,1
1019,2
1020,0
1021,1
1022,2
1023,1
1024,2
1025,2
1026,0
1027,0
1028,2
1029,0
1030,2
1031,2
1032,0
1033,0
1034,2
1035,0
1036,1
1037,2
1038,0
1039,2
1040,2
1041,0
1042,1
1043,1
1044,0
1045,2
1046,0
1047,0
1048,2
1049,2
1050,1
1051,2
1052,1
1053,0
1054,1
1055,2
1056,1
1057,2
1058,0
1059,2
1060,0
1061,2
1062,1
1063,2
1064,2
1065,2
1066,1
1067,1
1068,0
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,1
1076,2
1077,0
1078,2
1079,2
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,2
1091,1
1092,2
1093,1
1094,2
1095,1
1096,1
1097,1
1098,0
1099,2
1100,2
1101,0
1102,0
1103,2
1104,1
1105,1
1106,1
1107,2
1108,0
1109,1
1110,0
1111,2
1112,2
1113,0
1114,0
1115,0
1116,2
1117,2
1118,0
1119,2
1120,1
1121,0
1122,0
1123,0
1124,2
1125,0
1126,2
1127,0
1128,1
1129,2
1130,0
1131,1
1132,2
1133,2
1134,1
1135,2
1136,2
1137,1
1138,2
1139,1
1140,0
1141,2
1142,2
1143,2
1144,1
1145,2
1146,2
1147,2
1148,1
1149,0
1150,1
1151,0
1152,1
1153,2
1154,2
1155,1
1156,1
1157,0
